,yi,P(yi = 1| xi)
0,1,0.9708145983980442
1,1,0.970814797638709
2,1,0.9708051269622235
3,1,0.9707079238673894
4,1,0.9514563316904511
5,1,0.9707555175071274
6,1,0.962646343259992
7,1,0.9603131137074163
8,1,0.9708088898810203
9,1,0.9708153542268108
10,1,0.9703217709270332
11,1,0.9708167237732231
12,1,0.9708137666197347
13,1,0.9708136296278186
14,1,0.5747882805612823
15,1,0.6943094598016296
16,0,0.0415918372709829
17,1,0.9706610419549163
18,1,0.9663335473339959
19,1,0.229114722060826
20,1,0.9708148007746976
21,1,0.9708149617228911
22,1,0.660779056892524
23,1,0.9708061900279514
24,1,0.10542945010475954
25,1,0.9708150707095863
26,1,0.9706869185960361
27,1,0.9648860744041396
28,1,0.9100639381153351
29,1,0.967250775690615
30,1,0.9698126965135314
31,1,0.8953218514194805
32,1,0.9339271572677375
33,1,0.9708141629024627
34,1,0.9708128203908885
35,1,0.9580371330260086
36,1,0.970816347789157
37,1,0.9653544089161372
38,1,0.9708129621452242
39,1,0.9662024803181998
40,1,0.9708146945940621
41,1,0.9476109723362056
42,1,0.9708155236368249
43,1,0.9708148989421549
44,1,0.9707970780503155
45,1,0.9597601851345636
46,1,0.9695445810846021
47,1,0.9614908158319885
48,1,0.9708154155824549
49,1,0.9703710281364248
50,1,0.9692064548068716
51,1,0.9707965508824827
52,1,0.9707908155088362
53,1,0.9691632305812924
54,1,0.8516684484128717
55,1,0.9684131167210606
56,1,0.9646085534077647
57,1,0.9599677361479616
58,1,0.9586630519372807
59,0,0.25747930771336097
60,0,0.06073955128350261
61,1,0.9688596612281032
62,1,0.9511012724495412
63,1,0.9676659329579692
64,1,0.9708037831155687
65,1,0.9707914100777131
66,0,0.17773539801357793
67,1,0.9694242006035949
68,0,0.6411046102472109
69,1,0.9655761373977132
70,1,0.9699535843245366
71,1,0.9708103392538862
72,1,0.9290865002298215
73,1,0.9705576654488528
74,1,0.970747152576938
75,0,0.88219814395115
76,1,0.9708041183898046
77,1,0.970814583369429
78,1,0.9708162883436089
79,0,0.3912614013203267
80,0,0.5878592146168515
81,1,0.9480443531749148
82,0,0.7373067202080051
83,1,0.36586651242003043
84,1,0.9404427794775488
85,1,0.8883480506437212
86,1,0.7437985135465934
87,1,0.9708134955338213
88,1,0.9702920544732964
89,0,0.07919847283502215
90,1,0.9708138880599174
91,1,0.9618015541299949
92,1,0.9706666476063642
93,1,0.9051556045107964
94,1,0.9478339909854089
95,0,0.48872247204043157
96,1,0.9700121973515856
97,1,0.9163830631546246
98,1,0.8142441005498903
99,1,0.9621864017815517
100,1,0.9707944078257459
101,1,0.9616784111640623
102,1,0.957927629161875
103,1,0.9702892992472705
104,1,0.9702253069960822
105,1,0.9658311155814123
106,0,0.03709865275951828
107,0,0.577162101332473
108,1,0.9708160431980339
109,1,0.9626811872081358
110,1,0.9659624103099432
111,1,0.9657110564350535
112,0,0.9323534529087049
113,1,0.9685122701260994
114,1,0.9513101931484271
115,1,0.9472913808550512
116,1,0.9705577018669412
117,1,0.9601474441583976
118,1,0.9706025260173019
119,1,0.9681720473251723
120,0,0.29932830066704474
121,1,0.9643191484473675
122,1,0.9705351743578514
123,1,0.9701617454569208
124,1,0.9708149118322351
125,1,0.970815878240964
126,1,0.9708131047888642
127,1,0.9708160586273668
128,1,0.9695862671401404
129,1,0.9618232601830471
130,1,0.9613686261462073
131,1,0.97061263809061
132,1,0.8900815507135575
133,1,0.9621709829029237
134,1,0.9692169735073248
135,1,0.9708147932409567
136,1,0.9680796041591309
137,1,0.9697296480796311
138,1,0.9555906647330886
139,1,0.9708153975106875
140,1,0.9104820542417436
141,1,0.9427431172856844
142,1,0.9497557050709075
143,1,0.9670911494915074
144,1,0.954147193546343
145,1,0.9696591453377887
146,1,0.9707967396058201
147,1,0.9682311774190453
148,1,0.9578319900858615
149,1,0.9329277021106881
150,1,0.9693035041443251
151,1,0.9690821363817583
152,1,0.9552876396528391
153,1,0.970814776769787
154,1,0.9505730652767527
155,1,0.9708161445355318
156,1,0.9682706251588821
157,1,0.9696703132600673
158,1,0.9692278738620059
159,0,0.1316758321783456
160,1,0.9623290509815497
161,1,0.9708126825253002
162,1,0.957931838557825
163,1,0.9708156484558502
164,1,0.7273006963262183
165,1,0.952878743014257
166,1,0.9704297577940834
167,0,0.09584840840151268
168,1,0.9599735069996781
169,1,0.9702140476010959
170,1,0.9650816560339288
171,1,0.970813952325536
172,1,0.9675616417524869
173,1,0.948956090924557
174,1,0.9706046695001997
175,1,0.9708126515604907
176,1,0.9708126635267217
177,0,0.9410302103461945
178,1,0.9661241330538889
179,1,0.9673531282417148
180,1,0.8793996166524799
181,1,0.9708134029538493
182,1,0.9648254747858658
183,0,0.1741582025558201
184,0,0.8774350055982009
185,1,0.9708122347170633
186,1,0.9698344906405806
187,1,0.967216588167417
188,1,0.969533829608277
189,1,0.970812592917814
190,1,0.9708134281115308
191,1,0.9657879226132371
192,1,0.9684149347678186
193,1,0.964782803846358
194,1,0.970815311023992
195,0,0.7815126997711748
196,1,0.9208855831961579
197,0,0.14370383446216034
198,0,0.7756044767552932
199,1,0.454837161863119
200,1,0.9651743835399655
201,1,0.9688227565515201
202,1,0.9700977395652048
203,1,0.964445772953629
204,0,0.9498103951538781
205,1,0.9708137139828015
206,1,0.9658117788161675
207,1,0.966535999732352
208,1,0.9616086915228621
209,1,0.968009624767251
210,1,0.970813271024034
211,1,0.9513910731593379
212,1,0.9652240169871004
213,1,0.9708161165480028
214,1,0.9702244326925076
215,1,0.9708142641367468
216,1,0.9660974305336749
217,1,0.9707408031014311
218,1,0.9200447721548068
219,1,0.5140437207541482
220,1,0.9660252068280016
221,0,0.12177695617223856
222,1,0.9708143179472959
223,1,0.9708155556779954
224,1,0.9707696572745326
225,1,0.956355669256385
226,1,0.970547575192264
227,1,0.3123429407146882
228,1,0.9688760675405657
229,1,0.9708150525749524
230,1,0.9679923952063868
231,1,0.9708148515751113
232,1,0.9546576776866422
233,1,0.9685811388662829
234,1,0.9708144796219796
235,1,0.9705900983799844
236,1,0.9708066827386164
237,1,0.9708161379462942
238,1,0.9672780911707463
239,1,0.9708116874034403
240,1,0.8973166600710026
241,1,0.9708157630102294
242,0,0.03919975953507347
243,1,0.9708151621885113
244,1,0.9646857385762531
245,1,0.9665754759439537
246,1,0.962945059637623
247,1,0.9278300956783779
248,1,0.9690971109045915
249,1,0.9665784016928664
250,1,0.9556638293600453
251,1,0.9707582809586217
252,1,0.9661694658864886
253,1,0.9691164692213039
254,1,0.88117064035058
255,1,0.9702658991570999
256,1,0.9708153075170717
257,0,0.35856789084689916
258,1,0.9708152026583361
259,0,0.6375069993346894
260,1,0.9707700714385835
261,0,0.0936942180340387
262,1,0.9707951746345873
263,1,0.8888072741837713
264,1,0.9693977157702829
265,1,0.9618324362009366
266,1,0.968645129398781
267,1,0.9626486532427752
268,1,0.18045608615267814
269,1,0.7826214383472104
270,1,0.9680462567324362
271,1,0.9675199831613291
272,1,0.9708160188088792
273,1,0.6612899086875983
274,1,0.9708151791773805
275,1,0.9638791307439953
276,1,0.9708140794473261
277,0,0.3581321396086704
278,1,0.9708155347271177
279,1,0.9692204719843722
280,1,0.970816468252619
281,1,0.9698018748194585
282,1,0.9424170038244931
283,1,0.8315419726932461
284,0,0.0866839417578072
285,1,0.9362352265313358
286,1,0.9698084024674192
287,1,0.9707148161307915
288,1,0.9690523998764483
289,1,0.9230856831542248
290,1,0.9708147973309419
291,1,0.9701412006511564
292,1,0.9704686515787391
293,1,0.970757219451326
294,1,0.970810192012312
295,1,0.9676176710963558
296,1,0.97077995687546
297,1,0.939330448155034
298,1,0.9708146312779942
299,1,0.9492769790519787
300,1,0.9649763150004119
301,1,0.9707720885100581
302,0,0.18822520200152154
303,1,0.9708158912056349
304,1,0.9098260980774626
305,1,0.9691607002744392
306,1,0.9708152871832179
307,0,0.9430277655000712
308,1,0.9689300898198638
309,1,0.8602369132961671
310,1,0.9708078884629329
311,1,0.9637076311624286
312,1,0.9708136804522459
313,1,0.924934197291002
314,0,0.3942329477899463
315,1,0.9677481540857926
316,0,0.33793403387802534
